Time,S_S,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2
day,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg O2/l,mg N/l,mg N/l,mg N/l,mg N/l,eq ALK/l,mg N/l
0,59.930012,265.346234,2551.716069,148.007955,449.291733,1.913133,0.233449,22.629579,1.783723,7.697934,0.006942,-0.446627
0.00025,57.969998,258.425161,2552.956972,148.008271,448.612707,0.93564,0.113587,22.885909,1.734122,7.612335,0.006971,0.052231
0.000501,56.072454,251.941588,2553.222677,148.049916,449.195216,0.360929,0.422846,22.719484,1.697903,8.01358,0.006953,-0.141006
0.000751,54.822925,262.397297,2557.170095,148.033669,448.739447,0.080296,-0.202872,22.562754,1.639088,7.948875,0.007013,-0.215789
0.001001,54.034869,257.907606,2557.285904,148.021786,449.509426,-0.008517,-0.003685,22.622397,1.56294,7.600344,0.006967,0.210502
0.001251,52.9356,247.042685,2555.824918,148.000044,449.159902,0.216953,-0.012707,23.101509,1.511288,7.907425,0.006979,0.244913
0.001502,51.907924,255.455088,2557.348279,148.002239,449.443289,0.072473,-0.164114,22.288943,1.45296,8.036526,0.006971,-0.094334
0.001752,51.025694,262.50514,2558.744095,148.004311,449.738327,0.071445,-0.070594,22.201082,1.392666,8.094798,0.006927,0.092006
0.002002,50.627155,260.253592,2558.993707,148.011472,449.514847,0.058669,0.098043,22.699799,1.322856,7.917072,0.006945,0.621024
0.002252,49.336559,259.105388,2559.030864,148.030179,449.037562,0.053804,0.151433,22.991215,1.281772,7.897136,0.006911,0.412791
0.002503,48.647611,256.543677,2558.713044,148.041182,449.61148,0.088925,0.111091,22.548198,1.228265,8.006609,0.006932,0.49309
0.002753,47.778805,251.789721,2561.891932,148.055052,449.388905,0.08974,-0.177057,22.440004,1.181662,7.913861,0.006914,0.053611
0.003003,46.819606,255.128248,2561.691662,148.024739,449.549938,0.17003,0.333539,22.616427,1.142958,8.126468,0.00699,0.524884
0.003253,45.55169,255.062924,2563.443541,148.005924,449.42699,-0.070262,0.09216,23.226376,1.10047,8.162857,0.007008,0.099602
