Time,S_S,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2
day,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg O2/l,mg N/l,mg N/l,mg N/l,mg N/l,eq ALK/l,mg N/l
0,58.595803,257.673472,2552.584777,148.018013,449.063699,0.804403,0.113326,22.750177,1.81594,7.769001,0.006961,-0.241347
0.00025,57.520416,257.796855,2553.435421,148.018963,449.095175,0.708256,0.101682,22.745602,1.746853,7.793269,0.006962,-0.166198
0.000501,56.464261,257.898905,2554.261167,148.019714,449.126662,0.619762,0.091073,22.736606,1.680373,7.816286,0.006962,-0.096206
0.000751,55.426861,257.980116,2555.062788,148.020277,449.158146,0.538646,0.081458,22.723346,1.616447,7.838111,0.006963,-0.031159
0.001001,54.407739,258.040983,2555.841058,148.020662,449.18961,0.464632,0.072798,22.705977,1.555021,7.858799,0.006963,0.029154
0.001251,53.406417,258.081999,2556.59675,148.020881,449.221043,0.397445,0.065054,22.684654,1.496041,7.878409,0.006962,0.084945
0.001502,52.422419,258.103661,2557.330636,148.020943,449.252428,0.33681,0.058186,22.659532,1.439451,7.896999,0.006962,0.136425
0.001752,51.455267,258.10646,2558.043489,148.02086,449.283753,0.282452,0.052154,22.630766,1.385199,7.914625,0.006962,0.183807
0.002002,50.504483,258.090894,2558.736083,148.020642,449.315003,0.234096,0.046918,22.598513,1.333229,7.931344,0.006961,0.227301
0.002252,49.569592,258.057454,2559.409191,148.020299,449.346163,0.191466,0.04244,22.562926,1.283487,7.947215,0.00696,0.267121
0.002503,48.650115,258.006637,2560.063585,148.019843,449.37722,0.154287,0.038678,22.524161,1.235919,7.962295,0.006959,0.303476
0.002753,47.745575,257.938936,2560.700038,148.019284,449.408158,0.122284,0.035595,22.482374,1.190471,7.976641,0.006958,0.33658
0.003003,46.855495,257.854846,2561.319324,148.018633,449.438965,0.095183,0.033149,22.437719,1.147088,7.990311,0.006956,0.366644
0.003253,45.979398,257.754861,2561.922216,148.0179,449.469625,0.072706,0.031302,22.390353,1.105716,8.003361,0.006954,0.39388
0.003504,45.116807,257.639476,2562.509486,148.017095,449.500125,0.054581,0.030014,22.340429,1.066301,8.01585,0.006952,0.418498
0.003754,44.267244,257.509185,2563.081908,148.016231,449.53045,0.040531,0.029245,22.288104,1.028788,8.027834,0.00695,0.440712
0.004004,43.430233,257.364483,2563.640255,148.015317,449.560586,0.03028,0.028955,22.233533,0.993124,8.039372,0.006948,0.460732
0.004254,42.605295,257.205863,2564.185298,148.014364,449.590518,0.023555,0.029105,22.176871,0.959253,8.050521,0.006946,0.478771
0.004505,41.791954,257.033821,2564.717813,148.013382,449.620234,0.02008,0.029656,22.118273,0.927122,8.061337,0.006943,0.49504
0.004755,40.989733,256.84885,2565.238571,148.012383,449.649717,0.019579,0.030567,22.057894,0.896677,8.071879,0.00694,0.509751
0.005005,40.198155,256.651446,2565.748346,148.011376,449.678954,0.021778,0.031799,21.99589,0.867863,8.082204,0.006937,0.523115
0.005255,39.416742,256.442102,2566.24791,148.010374,449.707932,0.026401,0.033312,21.932416,0.840625,8.092369,0.006934,0.535345
0.005506,38.645016,256.221313,2566.738037,148.009385,449.736635,0.033173,0.035067,21.867627,0.81491,8.102432,0.006931,0.546651
0.005756,37.882502,255.989573,2567.219499,148.008421,449.765049,0.041819,0.037023,21.801679,0.790662,8.11245,0.006927,0.557246
0.006006,37.128721,255.747377,2567.69307,148.007493,449.79316,0.052063,0.039143,21.734726,0.767829,8.12248,0.006924,0.567342
0.006256,36.04565,255.539707,2568.362277,148.006235,449.837616,0.099659,0.037102,21.644233,0.734666,8.134076,0.006919,0.577878
0.006507,35.322682,255.40068,2568.766304,148.005081,449.823639,0.123573,0.038731,21.590247,0.714037,8.144319,0.006917,0.599882
0.006757,34.589169,255.062594,2569.114382,148.005757,449.867955,0.129526,0.049941,21.514567,0.695952,8.162605,0.006914,0.61717
