Time,dS_S,dX_S,dX_BH,dX_BA,dX_P,dS_O,dS_NO,dS_NH,dS_ND,dX_ND,dS_ALK,dS_N2
day,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg O2/l/d,mg N/l/d,mg N/l/d,mg N/l/d,mg N/l/d,eq ALK/l/d,mg N/l/d
0,-8216.163789,-3901.138511,7525.329357,60.536111,128.3552,-4539.007558,344.733796,-767.612067,-206.233322,-30.97415,-0.079453,0
0.00025,-7642.785991,-3475.928196,6855.845361,47.967934,128.4453,-3632.633781,256.596028,-666.971047,-208.265766,-18.572873,-0.065969,35.778997
0.000501,-5966.013655,-2117.37117,4821.817414,17.901995,128.520081,-1665.7918,41.654049,-375.288914,-237.775926,22.032076,-0.029782,125.451641
0.000751,-4223.509022,-800.259428,2771.66244,-1.911362,128.564333,-111.715487,-92.182543,-127.749458,-264.302674,61.588866,-0.00254,176.733357
0.001001,-3862.661458,-661.798051,2436.972696,-3.091844,128.596168,-1.316898,-70.033607,-107.224421,-255.055647,65.618847,-0.002656,149.665305
0.001251,-3679.570816,-630.375966,2293.108643,-3.048251,128.625451,1.922914,-46.547023,-107.748646,-243.142708,66.415778,-0.004372,126.359878
0.001502,-3552.739997,-612.825055,2196.2394,-2.969296,128.653265,2.019019,-30.152906,-111.865652,-231.41025,66.794115,-0.005837,110.294267
0.001752,-3464.258407,-603.514846,2130.590195,-2.889157,128.680083,2.043179,-19.116772,-118.086463,-220.01429,66.922844,-0.007069,99.591586
0.002002,-3402.186282,-599.971368,2086.502266,-2.808162,128.706228,2.079736,-11.802913,-125.596834,-209.011048,66.875966,-0.008128,92.614763
0.002252,-3357.768718,-600.406594,2056.910791,-2.725815,128.731923,2.127804,-6.994935,-133.811613,-198.433893,66.707152,-0.009058,88.149466
0.002503,-3324.889378,-603.566277,2036.876771,-2.641716,128.757314,2.184849,-3.841915,-142.329473,-188.298867,66.454166,-0.009892,85.346436
0.002753,-3299.417227,-608.601898,2023.063441,-2.555559,128.782498,2.249046,-1.769036,-150.887089,-178.609259,66.142615,-0.010651,83.63214
0.003003,-3278.618085,-614.953072,2013.263144,-2.467096,128.807537,2.319184,-0.396099,-159.317979,-169.35968,65.789441,-0.011352,82.627405
0.003253,-3260.702524,-622.255811,2006.032898,-2.376124,128.832472,2.394497,0.525274,-167.520874,-160.539182,65.40565,-0.012003,82.084701
0.003504,-3244.505291,-630.276827,2000.435557,-2.282466,128.857329,2.474538,1.156251,-175.437278,-152.133473,64.998291,-0.012614,81.843603
0.003754,-3229.267823,-638.868647,1995.864001,-2.185959,128.882123,2.559081,1.601092,-183.036257,-144.126403,64.571802,-0.013188,81.800528
0.004004,-3214.494407,-647.939765,1991.924743,-2.086449,128.906865,2.648052,1.927208,-190.304383,-136.500947,64.128916,-0.013731,81.888701
0.004254,-3199.858421,-657.435089,1988.362005,-1.983786,128.931562,2.741482,2.178253,-197.239194,-129.239824,63.671247,-0.014244,82.065098
