Time,S_S,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2
day,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg O2/l,mg N/l,mg N/l,mg N/l,mg N/l,eq ALK/l,mg N/l
0,59.8,260.1,2552,148,449,2,0,23,1.8,7.8,0.007,0
0.00025,57.80455,259.16751,2553.813201,148.013811,449.032132,0.965968,0.076801,22.818319,1.748418,7.793516,0.006982,0.003896
0.000501,56.06559,258.437519,2555.318779,148.022473,449.064286,0.271533,0.117437,22.682333,1.693486,7.793037,0.006969,0.022502
0.000751,54.836491,258.113528,2556.210659,148.023713,449.096454,0.102904,0.104654,22.627668,1.629397,7.804736,0.006966,0.0636
0.001001,53.833086,257.936726,2556.852664,148.023009,449.128631,0.095496,0.083883,22.599422,1.564237,7.820839,0.006965,0.104593
0.001251,52.890846,257.775484,2557.443226,148.022239,449.160816,0.095773,0.069454,22.572632,1.501899,7.837373,0.006965,0.138964
0.001502,51.98685,257.620133,2558.004185,148.021486,449.193008,0.096272,0.059988,22.545207,1.442527,7.854047,0.006963,0.168444
0.001752,51.109509,257.468081,2558.54504,148.020753,449.225207,0.09678,0.053916,22.516468,1.38605,7.870783,0.006962,0.194612
0.002002,50.250793,257.317594,2559.072337,148.02004,449.257413,0.097296,0.050111,22.485997,1.332377,7.887527,0.00696,0.218599
0.002252,49.405248,257.167465,2559.590539,148.019347,449.289625,0.097822,0.047801,22.453549,1.281404,7.904244,0.006958,0.241175
0.002503,48.569271,257.016864,2560.102615,148.018676,449.321843,0.098361,0.046472,22.419,1.233024,7.920907,0.006955,0.262856
0.002753,47.740525,256.865224,2560.610512,148.018025,449.354068,0.098916,0.045788,22.38231,1.187124,7.937499,0.006953,0.283981
0.003003,46.917524,256.71215,2561.115492,148.017397,449.386299,0.099488,0.045529,22.343491,1.143593,7.954008,0.00695,0.304772
0.003253,46.099336,256.557361,2561.618365,148.016791,449.418536,0.100077,0.045553,22.30259,1.102323,7.970424,0.006947,0.325374
0.003504,45.285398,256.400651,2562.119648,148.016208,449.450779,0.100686,0.045768,22.259671,1.063208,7.986742,0.006944,0.345881
0.003754,44.47538,256.241859,2562.619669,148.015649,449.483029,0.101316,0.046116,22.21481,1.026147,8.002955,0.006941,0.366353
0.004004,43.66911,256.080857,2563.118631,148.015114,449.515285,0.101968,0.046559,22.168089,0.991041,8.019059,0.006937,0.386833
0.004254,42.866513,255.91753,2563.616659,148.014605,449.547547,0.102642,0.047074,22.11959,0.957798,8.03505,0.006934,0.407346
0.004505,42.067586,255.751777,2564.113825,148.014121,449.579815,0.10334,0.047646,22.069398,0.926328,8.050925,0.00693,0.427911
0.004755,41.272367,255.583503,2564.610165,148.013665,449.61209,0.104063,0.048264,22.017593,0.896546,8.06668,0.006926,0.448542
0.005005,40.480929,255.412613,2565.105696,148.013237,449.64437,0.104813,0.048925,21.964254,0.868372,8.082312,0.006923,0.469246
0.005255,39.693365,255.239015,2565.600416,148.012837,449.676657,0.10559,0.049625,21.909457,0.84173,8.097818,0.006919,0.490031
0.005506,38.909784,255.062614,2566.094315,148.012467,449.70895,0.106396,0.050362,21.853275,0.816546,8.113194,0.006914,0.510902
0.005756,38.13031,254.883315,2566.587375,148.012128,449.741249,0.107233,0.051137,21.795779,0.792751,8.128437,0.00691,0.531864
0.006006,37.355078,254.70102,2567.079572,148.01182,449.773554,0.108101,0.05195,21.737035,0.77028,8.143543,0.006906,0.55292
0.006256,36.58423,254.515627,2567.570878,148.011546,449.805865,0.109003,0.052802,21.677106,0.749071,8.158507,0.006902,0.574073
0.006507,35.81792,254.32703,2568.06126,148.011305,449.838182,0.109939,0.053696,21.616054,0.729064,8.173328,0.006897,0.595326
0.006757,35.056307,254.13512,2568.550685,148.0111,449.870506,0.110913,0.054633,21.553937,0.710203,8.187999,0.006893,0.616683
0.007007,34.299562,253.939786,2569.039115,148.010931,449.902835,0.111925,0.055616,21.490808,0.692436,8.202518,0.006888,0.638147
0.007257,33.547862,253.740909,2569.526509,148.0108,449.935171,0.112977,0.056648,21.426722,0.675712,8.21688,0.006884,0.659719
0.007508,32.801393,253.538368,2570.012824,148.010708,449.967512,0.114072,0.057731,21.361728,0.659984,8.23108,0.006879,0.681402
0.007758,32.06035,253.332037,2570.498014,148.010656,449.99986,0.115212,0.058868,21.295873,0.645207,8.245114,0.006874,0.703201
0.008008,31.324937,253.121783,2570.982031,148.010647,450.032213,0.116399,0.060063,21.229203,0.631338,8.258976,0.006869,0.725116
0.008258,30.595368,252.907472,2571.464823,148.010681,450.064573,0.117636,0.06132,21.161762,0.618336,8.272663,0.006864,0.747151
0.008509,29.871866,252.68896,2571.946335,148.01076,450.096938,0.118924,0.062643,21.09359,0.606164,8.286167,0.006859,0.769309
0.008759,29.154664,252.466103,2572.42651,148.010887,450.12931,0.120267,0.064036,21.024727,0.594786,8.299484,0.006854,0.791593
0.009009,28.444005,252.238748,2572.905285,148.011062,450.161687,0.121668,0.065504,20.95521,0.584167,8.312609,0.006849,0.814004
0.009259,27.740145,252.006737,2573.382596,148.011287,450.194071,0.123129,0.067051,20.885076,0.574275,8.325534,0.006844,0.836545
0.00951,27.043349,251.769907,2573.858375,148.011565,450.22646,0.124653,0.068684,20.814358,0.565081,8.338255,0.006839,0.85922
0.00976,26.353893,251.528092,2574.332547,148.011897,450.258855,0.126244,0.070408,20.74309,0.556555,8.350764,0.006834,0.882029
0.01001,25.672067,251.281116,2574.805038,148.012285,450.291256,0.127906,0.07223,20.671303,0.54867,8.363056,0.006829,0.904977
0.01026,24.99817,251.0288,2575.275765,148.012733,450.323663,0.129641,0.074155,20.599027,0.541401,8.375122,0.006823,0.928065
0.010511,24.332514,250.77096,2575.744644,148.01324,450.356076,0.131454,0.076191,20.526291,0.534724,8.386957,0.006818,0.951294
0.010761,23.675424,250.507408,2576.211583,148.013811,450.388495,0.133347,0.078347,20.453122,0.528617,8.398553,0.006812,0.974668
0.011011,23.027236,250.237947,2576.676489,148.014447,450.420919,0.135326,0.080629,20.379549,0.523057,8.409902,0.006807,0.998187
0.011261,22.388298,249.96238,2577.139261,148.015152,450.453349,0.137393,0.083047,20.305596,0.518026,8.420997,0.006802,1.021853
0.011512,21.758967,249.680504,2577.599796,148.015926,450.485785,0.139554,0.08561,20.231288,0.513505,8.431831,0.006796,1.045667
0.011762,21.139615,249.392113,2578.057983,148.016773,450.518227,0.141812,0.088328,20.15665,0.509475,8.442394,0.006791,1.069631
0.012012,20.53062,249.096997,2578.513709,148.017696,450.550674,0.144171,0.091212,20.081705,0.50592,8.452678,0.006785,1.093744
0.012262,19.932372,248.794945,2578.966855,148.018698,450.583127,0.146636,0.094272,20.006475,0.502824,8.462677,0.006779,1.118006
0.012513,19.345267,248.485744,2579.417297,148.01978,450.615585,0.14921,0.097521,19.930983,0.500173,8.47238,0.006774,1.142418
0.012763,18.769709,248.169183,2579.864908,148.020946,450.648049,0.151897,0.100971,19.855251,0.497952,8.48178,0.006768,1.166979
0.013013,18.206105,247.84505,2580.309556,148.022199,450.680519,0.154701,0.104634,19.7793,0.496148,8.490869,0.006762,1.191687
0.013263,17.654865,247.513136,2580.751107,148.023541,450.712994,0.157626,0.108524,19.70315,0.494748,8.499637,0.006757,1.216542
0.013514,17.116399,247.173236,2581.189425,148.024976,450.745475,0.160674,0.112656,19.626822,0.49374,8.508076,0.006751,1.24154
0.013764,16.591114,246.82515,2581.624369,148.026506,450.777961,0.163848,0.117043,19.550335,0.493112,8.516179,0.006745,1.266679
0.014014,16.07941,246.468688,2582.055801,148.028133,450.810452,0.167151,0.121701,19.473709,0.492852,8.523937,0.006739,1.291955
0.014264,15.581677,246.103665,2582.483582,148.029862,450.842949,0.170583,0.126643,19.396964,0.492951,8.531343,0.006734,1.317366
0.014515,15.098289,245.729913,2582.907576,148.031693,450.875451,0.174145,0.131887,19.320117,0.493397,8.538388,0.006728,1.342907
0.014765,14.629605,245.347273,2583.327647,148.03363,450.907958,0.177837,0.137446,19.243189,0.494178,8.545067,0.006722,1.368572
0.015015,14.175957,244.955604,2583.743669,148.035675,450.940471,0.181657,0.143336,19.166197,0.495286,8.551373,0.006716,1.394357
0.015265,13.737649,244.554784,2584.15552,148.037831,450.972988,0.185603,0.149571,19.089159,0.496707,8.557299,0.00671,1.420257
0.015516,13.314953,244.144709,2584.563087,148.040098,451.005511,0.189671,0.156165,19.012091,0.498433,8.562841,0.006704,1.446264
